index,polarity,subjectivity,speaker,speaker_name,text,applause,attack,agree,noun_phrases,people,locations,topic,autotopic
0,0.5833333333333334,0.611111111111111,moderator,LESTER HOLT,"Good evening, everyone. I'm Lester Holt, and welcome to the first Democratic debate to the 2020 race for president.",False,False,False,"['good evening', 'lester holt', 'democratic debate']",[],[],introduction,['misc']
1,0.25,0.3333333333333333,moderator,SAVANNAH GUTHRIE,"Hi, I'm Savannah Guthrie. And tonight, it's our first chance to see these candidates go head to head on stage together.",False,False,False,"['hi', 'savannah guthrie']",[],[],introduction,['misc']
2,0.0,0.0,moderator,SAVANNAH GUTHRIE,"We'll be joined in our questioning time by our colleagues, Jose Diaz-Balart, Chuck Todd, and Rachel Maddow.",False,False,False,"['jose diaz-balart', 'chuck todd', 'rachel maddow']",[],[],introduction,['misc']
3,-0.15555555555555559,0.2888888888888889,moderator,HOLT,"Voters are trying to nail down where the candidates stand on the issues, what sets them apart, and which of these presidential hopefuls has what it takes.",False,False,False,"['candidates stand', 'presidential hopefuls']",[],[],introduction,['misc']
4,0.0,0.0,moderator,GUTHRIE,"Well, now it's time to find out.",False,False,False,"[""'s time""]",[],[],introduction,['misc']
5,0.012121212121212116,0.21818181818181817,moderator,ANNOUNCER,"Tonight, round one. New Jersey Senator Cory Booker. Former Housing Secretary Julian Castro. New York City Mayor Bill De Blasio. Former Maryland Congressman John Delaney. Hawaii Congresswoman Tulsi Gabbard. Washington Governor Jay Inslee. Minnesota Senator Amy Klobuchar. Former Texas Congressman Beto O'Rourke. Ohio Congressman Tim Ryan. And Massachusetts Senator Elizabeth Warren.",False,False,False,"['jersey', 'cory booker', 'housing secretary', 'julian castro', 'york', 'city mayor', 'bill de blasio', 'maryland', 'john delaney', 'hawaii congresswoman tulsi gabbard', 'washington', 'jay inslee', 'minnesota', 'amy klobuchar', 'texas', ""beto o'rourke"", 'ohio', 'tim ryan', 'massachusetts', 'elizabeth warren']",[],[],introduction,['misc']
6,0.018181818181818174,0.3,moderator,ANNOUNCER,"From NBC News, ""Decision 2020,"" the Democratic candidates debate, live from the Adrienne Arsht Performing Arts Center in Miami, Florida.",False,False,False,"['nbc news', 'decision', 'democratic candidates debate', 'adrienne arsht performing', 'miami', 'florida']",[],[],introduction,['misc']
7,0.48,0.52,moderator,HOLT,"And good evening again, everyone. Welcome to the candidates and to our audience here in Miami here in the Arts Center and all across the country. Tonight we're going to take on many of the most pressing issues of the moment, including immigration, the situation unfolding at our border, and the treatment of migrant children.",False,False,False,"['good evening', 'welcome', 'miami', 'pressing issues', 'migrant children']",[],[],"introduction, immigration, border, migrants",['immigration']
8,0.5,0.5,moderator,GUTHRIE,"And we're going to talk about the tensions with Iran, climate change, and of course, we'll talk about the economy, those kitchen table issues so many Americans face every day.",False,False,False,"['iran', ""'ll talk"", 'kitchen table issues']",[],[],"climate-change, economy","['climate-change', 'economic-inequality']"
9,0.14583333333333331,0.4583333333333333,moderator,DIAZ-BALART,"And some quick rules of the road. Before we begin, 20 candidates qualified for this first debate. We'll hear from 10 tonight and 10 more tomorrow. The breakdown for each was selected at random. The candidates will have 60 seconds to answer and 30 seconds for any follow-ups.",False,False,False,['quick rules'],[],[],misc,['misc']
10,0.14285714285714285,0.4884920634920634,moderator,HOLT,"Because of this large field, not every person will be able to comment on every topic, but over the course of the next two hours, we will hear from everyone. We'd also like to ask the audience to keep the reactions to a minimum. We are not going to be shy about making sure the candidates stick to time tonight.",False,False,False,['large field'],[],[],misc,['misc']
11,0.2857142857142857,0.5357142857142857,moderator,GUTHRIE,"All right. So with that business out of the way, we want to get to it. And we'll start this evening with Senator Elizabeth Warren.",False,False,False,['elizabeth warren'],[],[],warren,['misc']
12,0.7,0.6000000000000001,moderator,GUTHRIE,"Senator, good evening to you.",False,False,False,['good evening'],[],[],misc,['misc']
13,0.7,0.6000000000000001,warren,ELIZABETH WARREN,Thank you. Good to be here.,False,False,False,[],[],[],misc,['misc']
14,0.3262784090909091,0.6605113636363636,moderator,GUTHRIE,"You have many plans -- free college, free child care, government health care, cancellation of student debt, new taxes, new regulations, the breakup of major corporations. But this comes at a time when 71 percent of Americans say the economy is doing well, including 60 percent of Democrats. What do you say to those who worry this kind of significant change could be risky to the economy?",False,False,False,"['free college', 'free child care', 'government health care', 'student debt', 'new taxes', 'new regulations', 'major corporations']",[],[],economy,"['healthcare', 'economic-inequality', 'taxes', 'education', 'corporate-power']"
15,0.49999999999999994,0.692857142857143,warren,WARREN,So I think of it this way. Who is this economy really working for? It's doing great for a thinner and thinner slice at the top. It's doing great for giant drug companies. It's just not doing great for people who are trying to get a prescription filled.,False,False,False,"['who', 'thinner slice', 'giant drug companies']",[],[],"economy, economic-inequality",['economic-inequality']
16,0.4,0.5625,warren,WARREN,"It's doing great for people who want to invest in private prisons, just not for the African-Americans and Latinx whose families are torn apart, whose lives are destroyed, and whose communities are ruined.",False,False,False,"['private prisons', 'african-americans', 'latinx']",[],[],"economy, economic-inequality",['criminal-justice']
17,0.21481481481481482,0.6796296296296296,warren,WARREN,"It's doing great for giant oil companies that want to drill everywhere, just not for the rest of us who are watching climate change bear down upon us.",False,False,False,"['giant oil companies', 'drill everywhere']",[],[],"economy, economic-inequality, climate change, corporations",['climate-change']
18,0.45357142857142857,0.5892857142857143,warren,WARREN,"When you've got a government, when you've got an economy that does great for those with money and isn't doing great for everyone else, that is corruption, pure and simple. We need to call it out. We need to attack it head on. And we need to make structural change in our government, in our economy, and in our country.",False,False,False,[],[],[],"economy, economic-inequality, corruption",['economic-inequality']
19,0.12499999999999999,0.625,moderator,GUTHRIE,"Senator Klobuchar, you've called programs like free college something you might do if you were, quote, ""a magic genie."" To be blunt, are the government programs and benefits that some of your rivals are offering giving your voters, people, a false sense of what's actually achievable?",False,False,False,"['klobuchar', 'free college', 'magic genie', 'government programs', 'false sense']",[],[],"klobuchar, free-college","['economic-inequality', 'education']"
