index,polarity,subjectivity,timestamp,speaker,speaker_name,text,applause,laughter,interaction,attack,attack_target,agree,agree_target,interruption,interrupt_target,defense,defense_against,reference,mentions,noun_phrases,people,locations,topic,autotopic,first_mention
0,0.35,0.45,,moderator,Tapper,"An enthusiastic audience at the historic Fox Theatre in downtown Detroit, Michigan. Welcome to our viewers in the United States and around the world watching us on CNN, CNN International, CNN en Espanol, CNN.com, and listening on SiriusXM and the Westwood One Radio Network.",False,False,False,False,[],False,[],False,,False,,False,[],"['enthusiastic audience', 'fox', 'detroit', 'michigan', 'welcome', 'cnn', 'cnn', 'cnn', 'espanol', 'cnn.com', 'siriusxm', 'westwood', 'network']",[],[],uncategorized,['misc'],[]
1,0.2642857142857143,0.3928571428571429,,moderator,Tapper,"This is the CNN Democratic presidential debate. And a special welcome to the U.S. military members, diplomatic corps, and their families serving overseas and watching on the American Forces Network.",False,False,False,False,[],False,[],False,,False,,False,[],"['cnn', 'democratic presidential debate', 'u.s.', 'military members', 'diplomatic corps', 'forces network']",[],[],uncategorized,['military'],['military']
2,0.0,0.1,,moderator,Tapper,"I'm Jake Tapper, anchor of ""The Lead"" and ""State of the Union,"" along with CNN's chief political correspondent Dana Bash and Don Lemon, anchor of ""CNN Tonight.""",False,False,False,False,[],False,[],False,,False,,False,[],"['jake tapper', 'lead', 'cnn', 'chief political correspondent', 'dana bash', 'don lemon', 'cnn']",[],[],uncategorized,['misc'],[]
3,-0.05,0.27999999999999997,,moderator,Bash,The 20 Democratic presidential candidates were divided into two groups by random draw earlier this month. The first 10 appeared last night. Now it's time for the second 10.,False,False,False,False,[],False,[],False,,False,,False,[],"['democratic presidential candidates', ""'s time""]",[],[],uncategorized,['misc'],[]
4,0.4,0.45,,moderator,Lemon,"Please welcome, from Delaware, former Vice President Joe Biden.",False,False,False,False,[],False,[],False,,False,,True,['biden'],"['delaware', 'vice president', 'joe biden']",[],[],uncategorized,['misc'],[]
5,0.0,0.0,,moderator,Lemon,(APPLAUSE),True,False,False,False,[],False,[],False,,False,,False,[],[],[],[],uncategorized,['misc'],[]
6,0.0,0.0,,moderator,Lemon,"From California, Senator Kamala Harris.",False,False,False,False,[],False,[],False,,False,,True,['harris'],"['california', 'kamala harris']",[],[],uncategorized,['misc'],[]
7,0.0,0.0,,moderator,Lemon,(APPLAUSE),True,False,False,False,[],False,[],False,,False,,False,[],[],[],[],uncategorized,['misc'],[]
8,0.0,0.0,,harris,Harris,"Hey, Joe.",False,False,True,False,[],False,[],False,,False,,True,['biden'],"['hey', 'joe']",[],[],uncategorized,['misc'],[]
9,0.43333333333333335,0.8333333333333334,,biden,Biden,"Go easy on me, kid.",False,False,True,False,[],False,[],True,harris,False,,False,[],[],[],[],uncategorized,['misc'],[]
10,0.7,0.6000000000000001,,harris,Harris,How you doing? You good?,False,False,True,False,[],False,[],True,biden,False,,False,[],[],[],[],uncategorized,['misc'],[]
11,0.7,0.6000000000000001,,biden,Biden,I'm good.,False,False,True,False,[],False,[],True,harris,False,,False,[],"[""'m good""]",[],[],uncategorized,['misc'],[]
12,0.13636363636363635,0.45454545454545453,,moderator,Lemon,"From New Jersey, Senator Cory Booker.",False,False,False,False,[],False,[],False,,False,,True,['booker'],"['jersey', 'cory booker']",[],[],uncategorized,['misc'],[]
