index,polarity,subjectivity,speaker,speaker_name,text,applause,attack,agree,noun_phrases,people,locations,topic
0,0.25,0.3333333333333333,trump,trump,"Madam Speaker, Mr. Vice President, Members of Congress, the First Lady of the United States, and my fellow Americans:",False,False,False,"['madam', 'vice president', 'congress']",[],[],misc
1,0.0,1.0,trump,trump,We meet tonight at a moment of unlimited potential.,False,False,False,[],[],[],misc
2,0.11212121212121212,0.3181818181818182,trump,trump,"As we begin a new Congress, I stand here ready to work with you to achieve historic breakthroughs for all Americans.",False,False,False,"['congress', 'historic breakthroughs']",[],[],misc
3,0.8,0.75,trump,trump,"Millions of our fellow citizens are watching us now, gathered in this great chamber, hoping that we will govern not as two parties but as one Nation.",False,False,False,"['millions', 'fellow citizens', 'great chamber', 'nation']",[],[],unity
4,0.0,0.0,trump,trump,The agenda I will lay out this evening is not a Republican agenda or a Democrat agenda.,False,False,False,"['republican', 'democrat']",[],[],unity
5,0.0,0.0,trump,trump,It is the agenda of the American people.,False,False,False,['american people'],[],[],unity
6,0.24,0.305,trump,trump,Many of us campaigned on the same core promises: to defend American jobs and demand fair trade for American workers;,False,False,False,"['american jobs', 'demand fair trade', 'american workers']",[],[],"jobs, trade"
7,0.0,0.0,trump,trump,to rebuild and revitalize our Nation's infrastructure;,False,False,False,"['nation', ""'s infrastructure""]",[],[],infrastructure
8,0.0,0.0,trump,trump,to reduce the price of healthcare and prescription drugs;,False,False,False,['prescription drugs'],[],[],healthcare
9,0.275,0.35,trump,trump,"to create an immigration system that is safe, lawful, modern and secure;",False,False,False,['immigration system'],[],[],immigration
10,0.0625,0.22916666666666666,trump,trump,and to pursue a foreign policy that puts America's interests first.,False,False,False,"['foreign policy', 'america', ""'s interests""]",[],[],foreign-policy
11,0.04545454545454545,0.48484848484848486,trump,trump,"There is a new opportunity in American politics, if only we have the courage to seize it.",False,False,False,"['new opportunity', 'american politics']",[],[],misc
12,-0.25,0.75,trump,trump,Victory is not winning for our party.,False,False,False,['victory'],[],[],unity
13,0.5,0.75,trump,trump,Victory is winning for our country.,False,False,False,['victory'],[],[],unity
14,0.2,0.5,trump,trump,"This year, America will recognize two important anniversaries that show us the majesty of America's mission, and the power of American pride.",False,False,False,"['america', 'important anniversaries', 'america', ""'s mission"", 'american pride']",[],[],america
15,0.42500000000000004,0.625,trump,trump,"In June, we mark 75 years since the start of what General Dwight D. Eisenhower called the Great Crusade -- the Allied liberation of Europe in World War II.",False,False,False,"['june', 'dwight d. eisenhower', 'great crusade', 'europe', 'world war', 'ii']",[],[],ww2
16,0.19999999999999998,0.3,trump,trump,"On D-Day, June 6, 1944, 15,000 young American men jumped from the sky, and 60,000 more stormed in from the sea, to save our civilization from tyranny.",False,False,False,"['d-day', 'june', 'young american men']",[],[],ww2
17,0.125,0.35416666666666663,trump,trump,"Here with us tonight are three of those heroes: Private First Class Joseph Reilly, Staff Sergeant Irving Locker, and Sergeant Herman Zeitchik.",False,False,False,"['joseph reilly', 'staff sergeant irving locker', 'sergeant herman zeitchik']",[],[],ww2
18,0.0,0.0,trump,trump,"Gentlemen, we salute you.",False,False,False,['gentlemen'],[],[],ww2
19,0.3,0.4666666666666666,trump,trump,"In 2019, we also celebrate 50 years since brave young pilots flew a quarter of a million miles through space to plant the American flag on the face of the moon.",False,False,False,"['young pilots', 'american flag']",[],[],space-travel
20,-0.08333333333333333,0.08333333333333333,trump,trump,"Half a century later, we are joined by one of the Apollo 11 astronauts who planted that flag: Buzz Aldrin.",False,False,False,"['apollo', 'buzz aldrin']",[],[],space-travel
21,0.0,0.0,trump,trump,"This year, American astronauts will go back to space on American rockets.",False,False,False,"['american astronauts', 'american rockets']",[],[],space-travel
22,0.0,0.15625,trump,trump,"In the 20th century, America saved freedom, transformed science, and redefined the middle class standard of living for the entire world to see.",False,False,False,"['20th century', 'america', 'middle class', 'entire world']",[],[],"freedom, science, middle-class"
